knn_k,spatial_radius,sequential_max_distance,lr,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc
10,10.0,2,0.0005,0.5056,0.9855,0.9606,0.655,0.5554,0.9161,0.0037,0.2402,0.6018
10,10.0,2,0.0005,0.4721,0.9903,0.9635,0.7273,0.5685,0.9119,0.008,0.2047,0.6139
10,10.0,3,0.0005,0.4657,0.9907,0.9635,0.7318,0.5665,0.9163,0.0058,0.1877,0.6148
10,10.0,4,0.0005,0.4817,0.9909,0.9646,0.7438,0.5817,0.9298,0.0164,0.1535,0.593
10,10.0,5,0.0005,0.4338,0.9871,0.9585,0.6476,0.5097,0.9078,0.0306,0.131,0.5847
10,10.0,6,0.0005,0.4274,0.9889,0.9599,0.6785,0.5194,0.9146,0.0846,0.1033,0.5503
10,10.0,7,0.0005,0.4801,0.9882,0.9619,0.6904,0.557,0.9128,0.0331,0.1288,0.6158
10,10.0,8,0.0005,0.3955,0.9912,0.9604,0.7106,0.5122,0.9205,0.0376,0.1225,0.5822
10,20.0,2,0.0005,0.4003,0.9882,0.9577,0.6486,0.4894,0.9039,0.0614,0.1315,0.5404
10,20.0,3,0.0005,0.4928,0.9798,0.9546,0.5712,0.5069,0.8904,0.0628,0.1282,0.5521
10,20.0,4,0.0005,0.5072,0.9796,0.9551,0.5761,0.5171,0.9028,0.0155,0.1964,0.5873
10,20.0,5,0.0005,0.4848,0.9865,0.9605,0.6623,0.5469,0.8986,0.0064,0.2055,0.5807
10,20.0,6,0.0005,0.4848,0.9884,0.9623,0.6957,0.5623,0.9193,0.0131,0.2179,0.5626
10,20.0,7,0.0005,0.6124,0.9544,0.9367,0.4234,0.4772,0.9,0.0231,0.1727,0.5667
10,20.0,8,0.0005,0.4944,0.9836,0.9583,0.6225,0.5334,0.9143,0.0074,0.2015,0.5733
20,10.0,2,0.0005,0.4514,0.9911,0.9632,0.7351,0.5588,0.9155,0.0182,0.1495,0.6118
20,10.0,3,0.0005,0.4482,0.9911,0.963,0.7337,0.5562,0.9287,0.0344,0.1288,0.5694
20,10.0,4,0.0005,0.488,0.9869,0.9611,0.6711,0.5529,0.8997,0.0241,0.1444,0.6006
20,10.0,5,0.0005,0.437,0.9919,0.9632,0.7466,0.5544,0.8976,0.0109,0.1797,0.6181
20,10.0,6,0.0005,0.445,0.9878,0.9597,0.6659,0.5247,0.9215,0.0536,0.1145,0.5801
20,10.0,7,0.0005,0.4705,0.9877,0.9609,0.6766,0.545,0.919,0.0082,0.1593,0.6117
20,10.0,8,0.0005,0.4944,0.9814,0.9562,0.5927,0.5187,0.9081,0.0048,0.1917,0.6025
20,20.0,2,0.0005,0.4769,0.9705,0.9449,0.4687,0.4437,0.8888,0.0279,0.1583,0.5703
20,20.0,3,0.0005,0.4641,0.9836,0.9567,0.6075,0.509,0.9012,0.0062,0.2245,0.5901
20,20.0,4,0.0005,0.5167,0.9841,0.9599,0.6391,0.554,0.9204,0.0122,0.1987,0.571
20,20.0,5,0.0005,0.504,0.9821,0.9573,0.6054,0.5303,0.9173,0.0249,0.1532,0.589
20,20.0,6,0.0005,0.5949,0.9643,0.9452,0.4764,0.5038,0.9111,0.0768,0.1107,0.5729
20,20.0,7,0.0005,0.5024,0.9862,0.9612,0.666,0.5588,0.8937,0.0067,0.2142,0.5944
20,20.0,8,0.0005,0.4833,0.9756,0.9501,0.5197,0.475,0.9006,0.0143,0.1639,0.5902
10,10.0,2,0.0005,0.4147,0.9921,0.9622,0.7407,0.5372,0.9087,0.029,0.1403,0.6066
10,10.0,3,0.0005,0.453,0.9834,0.956,0.5992,0.4986,0.9036,0.0231,0.1518,0.5955
10,10.0,4,0.0005,0.3876,0.989,0.9579,0.6585,0.4855,0.9071,0.0402,0.1231,0.5685
10,10.0,5,0.0005,0.4864,0.9862,0.9604,0.6587,0.5462,0.9222,0.063,0.1101,0.5895
10,10.0,6,0.0005,0.5279,0.982,0.9585,0.6152,0.5483,0.9099,0.0045,0.1959,0.6077
10,10.0,7,0.0005,0.5008,0.9858,0.9607,0.6583,0.5543,0.9292,0.0391,0.1182,0.6005
10,10.0,8,0.0005,0.5008,0.9848,0.9597,0.6421,0.5465,0.9104,0.0366,0.1364,0.5805
10,20.0,2,0.0005,0.3636,0.9923,0.9598,0.7215,0.4948,0.9014,0.038,0.1459,0.5476
10,20.0,3,0.0005,0.4976,0.9868,0.9614,0.6724,0.5591,0.9181,0.0174,0.1649,0.5718
10,20.0,4,0.0005,0.5423,0.9669,0.9449,0.4722,0.4771,0.8897,0.0175,0.1869,0.5507
10,20.0,5,0.0005,0.5263,0.9791,0.9556,0.5789,0.5288,0.8968,0.0232,0.1541,0.565
10,20.0,6,0.0005,0.5152,0.9801,0.956,0.5851,0.5261,0.9095,0.075,0.1017,0.5681
10,20.0,7,0.0005,0.5008,0.9848,0.9597,0.6421,0.5465,0.8811,0.0104,0.2198,0.5679
10,20.0,8,0.0005,0.4705,0.9798,0.9534,0.5598,0.489,0.9,0.0514,0.1304,0.564
20,10.0,2,0.0005,0.4673,0.9911,0.964,0.7418,0.5718,0.8977,0.0256,0.1599,0.5731
20,10.0,3,0.0005,0.5678,0.9753,0.9542,0.5571,0.5383,0.9086,0.0212,0.152,0.5944
20,10.0,4,0.0005,0.4976,0.9868,0.9615,0.6739,0.5598,0.9191,0.0066,0.2132,0.5875
20,10.0,5,0.0005,0.5518,0.9809,0.9587,0.6124,0.5597,0.9139,0.003,0.2274,0.614
20,10.0,6,0.0005,0.4466,0.9885,0.9604,0.6796,0.5318,0.9179,0.0832,0.1186,0.5559
20,10.0,7,0.0005,0.5391,0.9805,0.9576,0.6014,0.5472,0.9268,0.0399,0.1222,0.5958
20,10.0,8,0.0005,0.4833,0.9832,0.9573,0.6109,0.5215,0.9024,0.0626,0.1106,0.5784
20,20.0,2,0.0005,0.5646,0.9215,0.903,0.2821,0.3534,0.8757,0.0644,0.1253,0.5618
20,20.0,3,0.0005,0.4545,0.9849,0.9575,0.6223,0.5105,0.8954,0.0145,0.1847,0.5761
20,20.0,4,0.0005,0.5199,0.9731,0.9496,0.5134,0.4901,0.9009,0.0769,0.105,0.5449
20,20.0,5,0.0005,0.488,0.98,0.9545,0.5709,0.5042,0.9167,0.0561,0.1189,0.5514
20,20.0,6,0.0005,0.4641,0.9895,0.9623,0.708,0.5551,0.8914,0.0092,0.1811,0.5966
20,20.0,7,0.0005,0.4577,0.9837,0.9565,0.6055,0.5044,0.8867,0.0253,0.1489,0.5716
20,20.0,8,0.0005,0.4641,0.9861,0.9591,0.6467,0.5274,0.9041,0.0509,0.1109,0.5766
10,10.0,2,0.0005,0.3828,0.9948,0.9631,0.8,0.5382,0.9107,0.0329,0.1315,0.5871
10,10.0,3,0.0005,0.4753,0.9882,0.9616,0.6866,0.5524,0.9277,0.0234,0.1523,0.5922
10,10.0,4,0.0005,0.4514,0.9867,0.9589,0.6491,0.521,0.9176,0.0641,0.0977,0.5924
10,10.0,5,0.0005,0.4386,0.9875,0.959,0.6563,0.5165,0.9261,0.0407,0.1285,0.5883
10,10.0,6,0.0005,0.4785,0.9877,0.9613,0.6803,0.5514,0.9145,0.0073,0.1851,0.5992
10,10.0,7,0.0005,0.4482,0.9894,0.9613,0.6973,0.5405,0.9169,0.0387,0.1247,0.5857
10,10.0,8,0.0005,0.4561,0.9874,0.9599,0.6636,0.5304,0.9179,0.0579,0.1054,0.5655
10,20.0,2,0.0005,0.4434,0.9847,0.9566,0.6123,0.4993,0.9263,0.0666,0.113,0.5614
10,20.0,3,0.0005,0.4928,0.9801,0.9548,0.5743,0.5085,0.89,0.0421,0.1367,0.5624
10,20.0,4,0.0005,0.4466,0.9875,0.9595,0.6619,0.5239,0.9097,0.0539,0.1215,0.5611
10,20.0,5,0.0005,0.4673,0.9869,0.96,0.6614,0.5361,0.8973,0.0105,0.2049,0.5904
10,20.0,6,0.0005,0.4354,0.987,0.9585,0.6469,0.5104,0.8989,0.0091,0.2114,0.5776
10,20.0,7,0.0005,0.5391,0.9713,0.9489,0.506,0.4953,0.8827,0.0091,0.2081,0.5914
10,20.0,8,0.0005,0.4673,0.9782,0.9518,0.5396,0.477,0.9161,0.0465,0.1175,0.5727
20,10.0,2,0.0005,0.5311,0.975,0.952,0.5371,0.5088,0.9105,0.0248,0.143,0.5777
20,10.0,3,0.0005,0.4705,0.9868,0.96,0.66,0.5374,0.9072,0.0245,0.1425,0.577
20,10.0,4,0.0005,0.4721,0.9849,0.9584,0.6311,0.5248,0.8682,0.0188,0.159,0.5657
20,10.0,5,0.0005,0.3668,0.9864,0.9543,0.5959,0.4455,0.9044,0.0444,0.121,0.5701
20,10.0,6,0.0005,0.5518,0.9803,0.9581,0.6049,0.5558,0.9191,0.0082,0.1875,0.6102
20,10.0,7,0.0005,0.4226,0.9898,0.9604,0.6937,0.5229,0.9157,0.0097,0.1669,0.6142
20,10.0,8,0.0005,0.5072,0.9866,0.9618,0.6737,0.5653,0.921,0.0086,0.1645,0.617
20,20.0,2,0.0005,0.5343,0.9412,0.9201,0.3317,0.381,0.8886,0.0614,0.1172,0.5465
20,20.0,3,0.0005,0.429,0.9898,0.9608,0.6969,0.5283,0.905,0.0323,0.1317,0.5908
20,20.0,4,0.0005,0.4912,0.9793,0.954,0.5641,0.5024,0.9148,0.0628,0.1225,0.5679
20,20.0,5,0.0005,0.4306,0.9899,0.9609,0.6995,0.5304,0.9075,0.0173,0.1609,0.5873
20,20.0,6,0.0005,0.4402,0.9876,0.9593,0.6603,0.5193,0.9045,0.0131,0.1597,0.5812
20,20.0,7,0.0005,0.4226,0.9875,0.9582,0.6479,0.503,0.9174,0.052,0.1249,0.5605
20,20.0,8,0.0005,0.488,0.984,0.9583,0.6245,0.5308,0.8823,0.0356,0.1404,0.5574
10,10.0,2,0.0005,0.4944,0.987,0.9615,0.6754,0.5586,0.9082,0.0065,0.1991,0.6159
10,10.0,3,0.0005,0.4545,0.9915,0.9637,0.7441,0.5647,0.9096,0.0211,0.1671,0.5872
10,10.0,4,0.0005,0.512,0.9844,0.9599,0.642,0.5528,0.9152,0.0162,0.1474,0.5818
0,0.0,2,0.0005,0.4641,0.9902,0.963,0.7221,0.5613,0.9064,0.007,0.226,0.5851
0,0.0,3,0.0005,0.4593,0.9828,0.9556,0.5926,0.4991,0.8709,0.0492,0.1432,0.541
0,0.0,4,0.0005,0.4163,0.9901,0.9604,0.696,0.5197,0.8907,0.0274,0.1473,0.5815
0,0.0,5,0.0005,0.3971,0.9927,0.9618,0.7477,0.5282,0.8955,0.0297,0.1524,0.5963
0,0.0,6,0.0005,0.4705,0.9878,0.961,0.6782,0.5457,0.8894,0.0114,0.1813,0.5874
0,0.0,7,0.0005,0.4625,0.9898,0.9625,0.7125,0.5561,0.8743,0.0103,0.2137,0.5783
0,0.0,8,0.0005,0.4402,0.9859,0.9576,0.6301,0.5056,0.8999,0.1113,0.1065,0.5404
0,10.0,2,0.0005,0.4769,0.9883,0.9618,0.6905,0.5551,0.9109,0.0181,0.1625,0.6005
0,10.0,3,0.0005,0.3748,0.9933,0.9613,0.7532,0.5148,0.8861,0.022,0.1494,0.6126
0,10.0,4,0.0005,0.5104,0.9872,0.9625,0.6852,0.5726,0.9269,0.067,0.0995,0.5932
0,10.0,5,0.0005,0.4848,0.9871,0.9611,0.6726,0.5517,0.9172,0.0045,0.2091,0.6138
0,10.0,6,0.0005,0.5423,0.9684,0.9463,0.4836,0.4839,0.911,0.0178,0.1461,0.5887
0,10.0,7,0.0005,0.4577,0.9914,0.9637,0.7435,0.5665,0.9124,0.016,0.1485,0.6074
0,10.0,8,0.0005,0.4593,0.9896,0.9622,0.7076,0.552,0.8966,0.0066,0.1979,0.6214
10,0.0,2,0.0005,0.5311,0.9828,0.9594,0.6283,0.5566,0.9149,0.0554,0.1134,0.5651
10,0.0,3,0.0005,0.4354,0.9895,0.9608,0.6947,0.5314,0.9173,0.0224,0.1449,0.6003
10,0.0,4,0.0005,0.4721,0.9886,0.9618,0.6932,0.5534,0.9177,0.0815,0.1072,0.5816
10,0.0,5,0.0005,0.4131,0.9876,0.9579,0.6459,0.4962,0.877,0.0285,0.1387,0.5888
10,0.0,6,0.0005,0.4338,0.9889,0.9602,0.6817,0.5248,0.92,0.0779,0.1041,0.5656
10,0.0,7,0.0005,0.4593,0.9855,0.9583,0.6344,0.5189,0.9078,0.031,0.1295,0.5795
10,0.0,8,0.0005,0.4737,0.9895,0.9628,0.7122,0.5629,0.8862,0.0115,0.1955,0.5953
